page_number,text
1,"Catalyzing Growth
and Impact for
Women in Tech
2023 Impact Report"
2,"Contents
3 Letter from Our Founder and CEO
4 Expanding Our Impact Globally
6 Our Community
9 2023 Impact
11 2023 Milestones and Big Moments
13 Programs and Events
14 2023 Partners
16 Our Vision for 2024
17 2023 Staff and Student Leaders
2 rewritingthecode.org"
3,"Letter from Our Founder + CEO
Dear Rewriting the Code
Members, Partners,
and Supporters,
As I reflect on the past year, I address each of you with a
deep sense of pride and gratitude, who have contributed
immensely to our mission of advancing university and early-
career women in technology. This year has been monumental
for RTC, not just in our achievements but also in our address the gender gap in tech but also to ensure that our
significant strides towards creating a more equitable efforts are inclusive and representative of all women.
future for women in tech globally.
To our members, your enthusiasm, talent, and resilience
Our collective efforts have illuminated the path for inspire us daily. Your achievements are a testament to
countless women, helping them navigate the challenges the potential that lies in a supportive and inclusive tech
and triumphs of a career in technology. Your unwavering community. To our partners and supporters, your generous
support, dedication, and belief in our mission have been contributions and unwavering belief in our mission fuel our
the cornerstone of our success. Together, we've built a progress. Together, we are not just rewriting the code; we
community that not only supports but empowers women are redefining the future of technology to be more inclusive,
to excel and lead in their respective fields. equitable, and diverse.
In an ambitious move to expand our impact beyond the As we look forward to the year ahead, we are filled with hope
shores of the United States and Canada, we've taken a bold and excitement for what we can achieve together. Our work
stand to address equity challenges for women across the is far from over, and we invite you to continue this remarkable
globe. This year marked a significant milestone in our journey journey with us. Let's keep pushing boundaries, challenging
by opening our first international office in London. This new norms, and creating opportunities for women in tech across
base serves as a beacon for our UK community, promising the globe.
to offer the same support, opportunities, and network that
Thank you for your continued support, dedication, and belief
has been instrumental in the success of our members in
in Rewriting the Code. Here's to another year of impact,
North America.
growth, and empowerment.
Equally important has been our initiative to identify and
support Native American women in tech intentionally. By
empowering student leaders, connecting members to Native With heartfelt gratitude,
American role models, and fostering connections among
members who share a similar identity, we've taken another Sue Harnett
step towards inclusivity and representation in the tech Founder & CEO
industry. This initiative reflects our commitment to not only
3 rewritingthecode.org • info@rewritingthecode.org"
4,"Global Impact
Expanding Our
Impact Globally
2023 marked a milestone year for Rewriting the Code as we took
a bold step beyond our US borders, launching our presence in the 2023
United Kingdom. This exciting expansion is part of our ongoing
commitment to foster diversity and inclusivity in the tech world on a UK Highlights
global scale.
Our President and CEO, Sue Harnett, shares her enthusiasm: ""Our
venture into the UK is more than just a geographical expansion – it's London Summer
about intensifying our efforts to empower women in technology. Celebration event for UK
We're bringing our rich resources, industry connections, and a interns & new grads hosted
nurturing community to support university students and early-career at Palantir
professionals in the UK's dynamic tech sector.""
3 Black History Month
Leading our UK initiatives is Jessica Furness, who was appointed Program events
as the UK Director. Jessica's profound understanding of the UK's
tech and recruitment landscape is key to developing meaningful Events and engagement
partnerships with universities, tech companies, and organizations with 8 Women in STEM
focused on diversity, equity, and inclusion.
societies on campus
Jessica reflects on this new journey: ""Being part of the global
UK-specific programming
Rewriting the Code community has always been about inclusivity
and events to support
and support. We're taking a step further to engage directly with our
members’ job-seeking
UK members. The tech industry here is booming, but ensuring women
are integral to this growth is crucial. Our holistic approach supports
Supported 25 members
women at every stage of their tech journey, contributing to a more
to attend in-person
balanced and inclusive industry.""
conferences free of charge
4 rewritingthecode.org • info@rewritingthecode.org"
5,"Global Impact
We also welcomed Blessing Adogame as our UK Community
Development Manager. A former RTC student member, Blessing's
35%
journey with us has come full circle. She brings her experience with
1,000+ First
RTC and a passion for guiding students towards achieving their
Members Generation
career aspirations.
Students
This expansion into the UK couldn't be more timely. The tech
industry's call for diversity and representation is loud and clear. Our
UK initiative aims to equip women with the necessary tools, support,
and opportunities to excel in their tech careers while aiding UK tech
70 26%
companies in achieving their diversity
and inclusion objectives. Universities Black
Represented Heritage
Here's to a future where the tech industry's diversity mirrors the
world it serves, and Rewriting the Code is at the forefront of this
transformative journey.
5 rewritingthecode.org • info@rewritingthecode.org"
6,"Our Community
7,624 1,126
undergraduate graduate
students students
28%
YoY membership
growth
4,500 14,284
BLNA early career
members members
6 rewritingthecode.org • info@rewritingthecode.org"
7,"Community
Student Community
Top Colleges Top Summer Cities Top College Cities
University of California-Berkeley New York New York
Duke University San Francisco Boston
Northeastern University Seattle San Francisco
Cornell University Philadelphia
New York University Atlanta
Carnegie Mellon University
Georgia Institute of Technology
University of California-Los Angeles
University of Pennsylvania
Early Career Community
Top 5 Tech Interests Top 5 Job Titles Top Early Career Cities
Artificial Intelligence Software Engineer (39% of community) New York
Data Science Product Manager San Francisco
Machine Learning Data Scientist/Data Manager London
Backend Development Web Development Seattle
Big Data Cybersecurity Toronto
BLNA Community
3,000+ members 1,300+ members 100+ members
300+ colleges + universities 250+ colleges + universities 24+ colleges + universities
7 rewritingthecode.org • info@rewritingthecode.org"
8,"Member Spotlight
Layke Jones
• RTC Black Wings 2023-2024 Leader
• North Carolina A&T State University
• Computer Graphics Technology Major
• Class of 2026
From a young age, I've always known that I
wanted to pursue a career in tech. However,
given that the only DEI representation in STEM I
ever witnessed was ‘Doc McStuffins,’ I assumed
my chances of success were nonexistent. After
joining Rewriting The Code, I quickly realized that constantly searching for depictions
of minorities in tech was never the answer. Instead, I could become the representation I
sought for all those years.
Over the course of 2023, I've interned at my local Chamber of Commerce, volunteered
for multiple organizations dedicated to uplifting children in STEM, and represented
Black Queer bodies at the O4U Engineering Conference. I've been invited to several
distinguished summits and events, selected to lead Black Wings as an RTC student
leader, and much more.
There is no community I love more than the one that has been built at Rewriting the
Code. Here, I don't have to seek representation; all I have to do is open my eyes, and it's
all around me!""
8 rewritingthecode.org • info@rewritingthecode.org"
9,"2023
Impact
89%
of members said RTC has TEAMRTC
positively impacted their career (Data from 8/31/23 - 12/31/23)
or life
32,963 platform job views
$515,000
in funds distributed via the RTC 1,185 platform job favorites
Women in Tech Fund
846 platform job applications
75%
of RISE attendees feel more
favorably about a company
SLACK MEMBERS SERVED
sponsor after attending one of
their RISE sessions COMMUNITIES BY PROGRAM
10,466
79% 7,170
members
of Spring 2023 grads secured RTC Events
a full-time job (of those
38% 1,466
who reported)
engagement rate RISE live events
60%
9,333 363
of new RTC members feel
posts made Resumes Reviewed
very certain they will pursue
229
a tech career. By 90 days into 16,739
Mentorship Matches
their membership, 71% of RTC replies
members feel very certain they
119
35,858
will pursue a tech career (of
Women in Tech Fund
reactions
those who reported)
Recipients
95
Conference Scholarships
91
Brilliant Black Minds
Participants
9 rewritingthecode.org • info@rewritingthecode.org"
10,"What members say
about the RTC community
""As a woman in tech attending
a school not known for its
computing program, I see RTC as
the career center + community
that I always wanted.""
“It’s a great space where
“RTC is a community
you can connect with other
like no other where
women in tech no matter
you truly feel a sense
what part of your journey
of belonging and
you're on!”
motivation to pursue a
career in tech.”
“This is a great community
of super supportive and
encouraging women who can “RTC has been instrumental in my
really help you learn more career and journey as a young
about what you can do in the woman in tech. RTC consistently
tech space!” provides opportunities for women
to gain access to the support and
materials needed for success. I can
""If you hope to find
always rely on the RTC community
a safe space to be
to connect with other women.""
authentically yourself
while doing what you
love, RTC is the place
for you.”
10 rewritingthecode.org • info@rewritingthecode.org"
